file	id	name	frames	rate_fixed	rate_hz	loop_start	loop_end	base_freq	encode
snd_1033.pcm	1033	TVOff	7648	0x56EE8BA3	22254.5455	7646	7647	60	0x00
snd_1034.pcm	1034	Coffee	8832	0x56EE8BA3	22254.5455	8830	8831	60	0x00
snd_1035.pcm	1035	Mystic	9696	0x56EE8BA3	22254.5455	9694	9695	60	0x00
snd_1036.pcm	1036	Zap	4339	0x56EE8BA3	22254.5455	4337	4338	60	0x00
snd_1037.pcm	1037	Pop!	480	0x56EE8BA3	22254.5455	478	479	60	0x00
snd_1038.pcm	1038	Enemy In	6480	0x56EE8BA3	22254.5455	6478	6479	60	0x00
snd_1039.pcm	1039	Enemy Out	4880	0x56EE8BA3	22254.5455	4878	4879	60	0x00
snd_1040.pcm	1040	Paper Crunch	6928	0x56EE8BA3	22254.5455	6926	6927	60	0x00
snd_1041.pcm	1041	Bounce	2976	0x56EE8BA3	22254.5455	2974	2975	60	0x00
snd_1042.pcm	1042	Drip	1008	0x56EE8BA3	22254.5455	1006	1007	60	0x00
snd_1043.pcm	1043	Drop	1376	0x56EE8BA3	22254.5455	1374	1375	60	0x00
snd_1044.pcm	1044	Fish Leap	6688	0x56EE8BA3	22254.5455	6686	6687	60	0x00
snd_1045.pcm	1045	Fish Land	3760	0x56EE8BA3	22254.5455	3758	3759	60	0x00
snd_1046.pcm	1046	Dont Exit	2368	0x56EE8BA3	22254.5455	2366	2367	60	0x00
snd_1047.pcm	1047	Sizzle	2240	0x56EE8BA3	22254.5455	0	2239	60	0x00
snd_1048.pcm	1048	Paper1	4432	0x56EE8BA3	22254.5455	4430	4431	60	0x00
snd_1049.pcm	1049	Paper2	4096	0x56EE8BA3	22254.5455	4094	4095	60	0x00
snd_1050.pcm	1050	Paper3	1648	0x56EE8BA3	22254.5455	1646	1647	60	0x00
snd_1051.pcm	1051	Paper4	1584	0x56EE8BA3	22254.5455	1582	1583	60	0x00
snd_1052.pcm	1052	Keystroke	2524	0x56EE8BA3	22254.5455	2522	2523	60	0x00
snd_1053.pcm	1053	Carriage Return	5248	0x56EE8BA3	22254.5455	5246	5247	60	0x00
snd_1054.pcm	1054	Check	5056	0x56EE8BA3	22254.5455	5054	5055	60	0x00
snd_1055.pcm	1055	Phone	11008	0x56EE8BA3	22254.5455	11006	11007	60	0x00
snd_1056.pcm	1056	Ding 1	7872	0x56EE8BA3	22254.5455	7870	7871	60	0x00
snd_1057.pcm	1057	Ding 2	9504	0x56EE8BA3	22254.5455	9502	9503	60	0x00
snd_1058.pcm	1058	Twunk	2272	0x56EE8BA3	22254.5455	2270	2271	60	0x00
snd_1059.pcm	1059	TransOut	9952	0x56EE8BA3	22254.5455	9950	9951	60	0x00
snd_1060.pcm	1060	TransIn	9984	0x56EE8BA3	22254.5455	9982	9983	60	0x00
snd_1061.pcm	1061	Bonus	5388	0x56EE8BA3	22254.5455	5386	5387	60	0x00
snd_1062.pcm	1062	Hiss	2960	0x56EE8BA3	22254.5455	0	2959	60	0x00
snd_2000.pcm	2000	Refrain1.22	97034	0x56EE8BA3	22254.5455	0	97034	60	0x00
snd_2001.pcm	2001	Refrain2.22	97102	0x56EE8BA3	22254.5455	0	97102	60	0x00
snd_2002.pcm	2002	Refrain3.22	97032	0x56EE8BA3	22254.5455	0	97032	60	0x00
snd_2003.pcm	2003	Refrain4.22	97284	0x56EE8BA3	22254.5455	0	97284	60	0x00
snd_2004.pcm	2004	Chorus.22	194028	0x56EE8BA3	22254.5455	0	194028	60	0x00
snd_2005.pcm	2005	RefrainSparse1.22	96888	0x56EE8BA3	22254.5455	0	96888	60	0x00
snd_2006.pcm	2006	RefrainSparse2.22	97334	0x56EE8BA3	22254.5455	0	97334	60	0x00
